#Predictions based on model below... 
#
# Call:
#   lm(formula = A2 ~ Year + Year2 + Year3, data = data.frame(A2 = table2$A2, 
#                                                             Year = table2$Year, Year2 = table2$Year * table2$Year, Year3 = (table2$Year)^3))
# 
# Residuals:
#   Min      1Q  Median      3Q     Max 
# -2.3504 -1.5337  0.1563  1.1378  2.9066 
# 
# Coefficients:
#   Estimate Std. Error t value Pr(>|t|)    
# (Intercept) -6.360e+05  8.778e+04  -7.246 2.77e-05 ***
#   Year         9.894e+02  1.295e+02   7.643 1.75e-05 ***
#   Year2       -5.131e-01  6.363e-02  -8.064 1.10e-05 ***
#   Year3        8.875e-05  1.042e-05   8.516 6.78e-06 ***
#   ---
#   Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
# 
# Residual standard error: 1.95 on 10 degrees of freedom
# Multiple R-squared:  0.9999,	Adjusted R-squared:  0.9999 
# F-statistic: 3.327e+04 on 3 and 10 DF,  p-value: < 2.2e-16
#


Year Month CO2
1965 11 319.506431522896
1965 12 319.587643124978
1966 1 319.668994526961
1966 2 319.750486037927
1966 3 319.83211796463
1966 4 319.913890616153
1966 5 319.995804300299
1966 6 320.077859325567
1966 7 320.160056000343
1966 8 320.242394631961
1966 9 320.324875528808
1966 10 320.407498999499
1966 11 320.490265351837
1966 12 320.573174893623
1967 1 320.656227934058
1967 2 320.739424780477
1967 3 320.822765741381
1967 4 320.906251124572
1967 5 320.989881238784
1967 6 321.073656391585
1967 7 321.157576891244
1967 8 321.241643045912
1967 9 321.325855164439
1967 10 321.410213554394
1967 11 321.494718523696
1967 12 321.579370380961
1968 1 321.66416943376
1968 2 321.749115991173
1968 3 321.83421036019
1968 4 321.919452850125
1968 5 322.004843768431
1968 6 322.090383423725
1968 7 322.176072123693
1968 8 322.261910176952
1968 9 322.347897891188
1968 10 322.434035574668
1968 11 322.52032353566
1968 12 322.606762082316
1969 1 322.693351523252
1969 2 322.780092165805
1969 3 322.866984318593
1969 4 322.954028289416
1969 5 323.041224387358
1969 6 323.128572919173
1969 7 323.21607419441
1969 8 323.303728520172
1969 9 323.391536205192
1969 10 323.479497557157
1969 11 323.567612885265
1969 12 323.655882496503
1970 1 323.74430669914
1970 2 323.832885801792
1970 3 323.921620112844
1970 4 324.010509940214
1970 5 324.099555591354
1970 6 324.188757375348
1970 7 324.278115599882
1970 8 324.367630573572
1970 9 324.457302603754
1970 10 324.547131999629
1970 11 324.637119068415
1970 12 324.727264118614
1971 1 324.817567458609
1971 2 324.908029396436
1971 3 324.998650240246
1971 4 325.089430297841
1971 5 325.180369877839
1971 6 325.271469288506
1971 7 325.362728837761
1971 8 325.454148833524
1971 9 325.545729583944
1971 10 325.637471397524
1971 11 325.729374582646
1971 12 325.821439446532
1972 1 325.913666298846
1972 2 326.006055445992
1972 3 326.09860719752
1972 4 326.191321860533
1972 5 326.28419974423
1972 6 326.37724115618
1972 7 326.47044640407
1972 8 326.563815796864
1972 9 326.657349642483
1972 10 326.751048249309
1972 11 326.844911924796
1972 12 326.938940977794
1973 1 327.033135715988
1973 2 327.127496447763
1973 3 327.222023481387
1973 4 327.316717125126
1973 5 327.411577686551
1973 6 327.506605474395
1973 7 327.601800796343
1973 8 327.697163961129
1973 9 327.792695276672
1973 10 327.888395050657
1973 11 327.984263591585
1973 12 328.080301207956
1974 1 328.176508207922
1974 2 328.272884898703
1974 3 328.369431589497
1974 4 328.466148587759
1974 5 328.563036202104
1974 6 328.660094740684
1974 7 328.757324511767
1974 8 328.854725822806
1974 9 328.952298982418
1974 10 329.050044298987
1974 11 329.147962080548
1974 12 329.246052635135
1975 1 329.344316270552
1975 2 329.442753295298
1975 3 329.54136401799
1975 4 329.64014874585
1975 5 329.739107788075
1975 6 329.838241452351
1975 7 329.937550046248
1975 8 330.037033878732
1975 9 330.136693257722
1975 10 330.236528491485
1975 11 330.336539887707
1975 12 330.436727755005
1976 1 330.537092401297
1976 2 330.637634135201
1976 3 330.73835326382
1976 4 330.839250096586
1976 5 330.940324941068
1976 6 331.041578105302
1976 7 331.143009897438
1976 8 331.244620626327
